source	relation	target	gt	type	AllYes	AllNo	AllRandom
coralbells_1	type_of	alumbloom_1	1	P	1.0	0.0	0.94
genus_trollius_1	member_meronym	globe_flower_1	1	P	1.0	0.0	0.46
genus_gymnelis_1	member_meronym	fish_doctor_1	1	P	1.0	0.0	0.39
residence_2	type_of	house_3	1	P	1.0	0.0	0.39
alexandrian_laurel_1	type_of	poon_1	1	P	1.0	0.0	0.99
genus_manta_1	member_meronym	atlantic_manta_1	1	P	1.0	0.0	0.15
bebop_1	type_of	dance_2	1	P	1.0	0.0	0.53
salt_2	type_of	keep_19	1	P	1.0	0.0	0.09
lymphatic_system_1	has_part	lymph_cell_1	1	P	1.0	0.0	0.34
adding_machine_1	part_of	cash_register_1	1	P	1.0	0.0	0.91
sea_1	has_instance	adriatic_1	1	P	1.0	0.0	0.54
bodyguard_1	has_instance	praetorian_1	1	P	1.0	0.0	0.88
annona_cherimola_1	type_of	custard_apple_1	1	P	1.0	0.0	0.54
bolete_1	has_instance	phylloporus_boletinoides_1	1	P	1.0	0.0	0.47
bubo_1	member_meronym	horned_owl_1	1	P	1.0	0.0	0.66
discernment_5	type_of	wisdom_2	1	P	1.0	0.0	0.02
reel_7	type_of	square_dance_2	1	P	1.0	0.0	0.74
vaudevillian_1	has_instance	sophie_tucker_1	1	P	1.0	0.0	0.78
instrumentalist_1	has_instance	lutanist_1	1	P	1.0	0.0	0.99
assignment_1	has_instance	fatigue_6	1	P	1.0	0.0	0.9
papaver_argemone_1	type_of	poppy_1	1	P	1.0	0.0	0.48
break_loose_1	type_of	flee_1	1	P	1.0	0.0	0.54
europe_1	has_part	italia_1	1	P	1.0	0.0	0.26
mescaline_1	part_of	magic_mushroom_1	1	P	1.0	0.0	0.97
thrall_2	has_instance	helot_1	1	P	1.0	0.0	0.53
alcidae_1	member_meronym	genus_plautus_1	1	P	1.0	0.0	0.62
loved_1	similar_to	beloved_1	1	P	1.0	0.0	0.14
grand_canal_2	subordinate_instance_of	canal_3	1	P	1.0	0.0	0.4
corolla_1	part_of	chlamys_1	1	P	1.0	0.0	0.7
time_10	has_instance	nowadays_1	1	P	1.0	0.0	0.61
genus_pelargonium_1	type_of	rosid_dicot_genus_1	1	P	1.0	0.0	0.84
capital_of_italy_1	domain_topic	augur_2	1	P	1.0	0.0	0.97
new_englander_1	type_of	american_1	1	P	1.0	0.0	0.58
prison_1	has_part	cellblock_1	1	P	1.0	0.0	0.19
act_of_terrorism_1	domain_region	lashkar_e_jhangvi_1	1	P	1.0	0.0	0.28
ulugh_muz_tagh_1	subordinate_instance_of	mountain_peak_1	1	P	1.0	0.0	0.95
domestic_partner_1	has_instance	better_half_1	1	P	1.0	0.0	0.76
brasil_1	subordinate_instance_of	south_american_country_1	1	P	1.0	0.0	0.5
anglo_saxon_deity_1	type_of	deity_1	1	P	1.0	0.0	0.17
department_of_the_treasury_1	has_part	office_of_intelligence_support_1	1	P	1.0	0.0	0.32
buteo_lagopus_1	type_of	hawk_3	1	P	1.0	0.0	0.65
damaging_1	similar_to	harmful_3	1	P	1.0	0.0	0.75
move_3	has_instance	buck_3	1	P	1.0	0.0	0.23
capacitance_unit_1	has_instance	f_3	1	P	1.0	0.0	0.56
military_uniform_1	has_instance	regimentals_1	1	P	1.0	0.0	0.58
induction_of_labor_1	type_of	induction_5	1	P	1.0	0.0	0.93
tampa_bay_1	part_of	golfo_de_mexico_1	1	P	1.0	0.0	0.48
falls_2	has_instance	canadian_falls_1	1	P	1.0	0.0	0.7
extraction_1	has_instance	beneficiation_1	1	P	1.0	0.0	0.38
pablum_1	part_of	pap_2	1	P	1.0	0.0	0.51
bypass_3	type_of	conductor_2	1	P	1.0	0.0	0.95
column_1	type_of	construction_3	1	P	1.0	0.0	0.24
victor_2	has_instance	contestee_1	1	P	1.0	0.0	0.28
genus_begonia_1	type_of	dilleniid_dicot_genus_1	1	P	1.0	0.0	0.27
belly_2	type_of	adipose_tissue_1	1	P	1.0	0.0	0.37
hip_2	type_of	girdle_3	1	P	1.0	0.0	0.88
coastguard_1	type_of	armed_service_1	1	P	1.0	0.0	0.75
loranthus_europaeus_1	type_of	parasitic_plant_1	1	P	1.0	0.0	0.45
canyonlands_national_park_1	part_of	beehive_state_1	1	P	1.0	0.0	0.94
ideal_1	has_instance	value_11	1	P	1.0	0.0	0.34
bird_genus_1	has_instance	genus_oreortyx_1	1	P	1.0	0.0	0.64
cardamine_pratensis_1	type_of	bitter_cress_1	1	P	1.0	0.0	0.35
genus_rhus_1	member_meronym	shumac_1	1	P	1.0	0.0	0.01
baronetage_1	type_of	aristocracy_1	1	P	1.0	0.0	0.32
mollusk_genus_1	has_instance	genus_pecten_1	1	P	1.0	0.0	0.87
yuman_1	has_instance	kiliwa_1	1	P	1.0	0.0	0.97
calumniation_1	has_instance	malignment_1	1	P	1.0	0.0	0.49
enterpriser_1	type_of	bourgeois_1	1	P	1.0	0.0	0.43
western_australia_1	part_of	australia_1	1	P	1.0	0.0	0.09
gymnosperm_family_1	has_instance	araucaria_family_1	1	P	1.0	0.0	0.16
color_9	has_instance	pigment_3	1	P	1.0	0.0	0.69
equus_caballus_1	has_instance	chestnut_2	1	P	1.0	0.0	0.74
change_of_life_1	part_of	middle_age_1	1	P	1.0	0.0	0.33
embossment_2	type_of	sculpture_3	1	P	1.0	0.0	0.66
prescript_1	type_of	direction_5	1	P	1.0	0.0	0.74
detector_3	part_of	radio_3	1	P	1.0	0.0	0.32
roller_3	type_of	wheel_5	1	P	1.0	0.0	0.33
vessel_3	has_instance	bottle_1	1	P	1.0	0.0	0.61
heteroptera_1	member_meronym	family_reduviidae_1	1	P	1.0	0.0	0.95
perennial_1	type_of	flora_2	1	P	1.0	0.0	0.92
acarine_1	has_instance	tick_6	1	P	1.0	0.0	0.15
grandiloquence_1	has_instance	flourish_2	1	P	1.0	0.0	0.33
book_5	has_instance	book_of_genesis_1	1	P	1.0	0.0	0.85
july_1	has_part	mid_july_1	1	P	1.0	0.0	0.32
arise_5	has_instance	soar_1	1	P	1.0	0.0	0.83
organisation_3	has_instance	polity_2	1	P	1.0	0.0	0.69
family_rosaceae_1	member_meronym	chaenomeles_1	1	P	1.0	0.0	0.66
morning_glory_1	has_instance	ipomoea_batatas_1	1	P	1.0	0.0	0.43
come_down_1	has_instance	dive_1	1	P	1.0	0.0	0.55
computer_science_1	domain_region	dithered_color_1	1	P	1.0	0.0	0.66
character_2	has_part	thoughtfulness_3	1	P	1.0	0.0	0.6
sporozoan_1	has_instance	myxosporidian_1	1	P	1.0	0.0	0.34
cake_2	has_instance	seed_cake_1	1	P	1.0	0.0	0.37
american_football_1	domain_region	blitz_2	1	P	1.0	0.0	0.31
liliid_monocot_family_1	has_instance	family_hemerocallidaceae_1	1	P	1.0	0.0	0.79
antifungal_1	has_instance	fulvicin_1	1	P	1.0	0.0	0.41
south_platte_1	part_of	centennial_state_1	1	P	1.0	0.0	0.71
tree_fern_1	has_instance	cibotium_barometz_1	1	P	1.0	0.0	0.36
british_capital_1	has_part	whitehall_1	1	P	1.0	0.0	0.51
hypericales_1	member_meronym	begonia_family_1	1	P	1.0	0.0	0.6
northern_rhodesia_1	has_part	capital_of_zambia_1	1	P	1.0	0.0	0.72
cross_hair_1	part_of	graticule_1	1	P	1.0	0.0	0.87
imaging_2	has_instance	echography_1	1	P	1.0	0.0	0.25
change_4	type_of	difference_1	1	P	1.0	0.0	0.52
bush_1	has_instance	cherry_laurel_1	1	P	1.0	0.0	0.5
right_bank_1	part_of	capital_of_france_1	1	P	1.0	0.0	0.18
eumeces_callicephalus_1	type_of	scincid_1	1	P	1.0	0.0	0.39
artist_1	has_instance	edward_lear_1	1	P	1.0	0.0	0.34
embryo_1	type_of	flora_2	1	P	1.0	0.0	0.37
joy_3	has_instance	elation_2	1	P	1.0	0.0	0.7
bishopric_1	has_instance	eparchy_1	1	P	1.0	0.0	0.41
aquila_2	part_of	abruzzi_1	1	P	1.0	0.0	0.2
road_1	has_instance	highway_1	1	P	1.0	0.0	0.39
goldfields_1	type_of	wild_flower_1	1	P	1.0	0.0	0.81
calorimeter_1	type_of	measuring_device_1	1	P	1.0	0.0	0.58
managed_economy_1	type_of	non_market_economy_1	1	P	1.0	0.0	0.49
le_1	type_of	autoimmune_disease_1	1	P	1.0	0.0	0.23
prairie_rocket_1	type_of	flower_2	1	P	1.0	0.0	0.71
orchid_1	has_instance	brassia_verrucosa_1	1	P	1.0	0.0	0.75
chrysolophus_pictus_1	type_of	pheasant_1	1	P	1.0	0.0	0.11
city_1	has_instance	manchester_2	1	P	1.0	0.0	0.61
