source	relation	target	gt	50changed	allno	allyes
013h1c	location__hud_foreclosure_area__estimated_number_of_mortgages-measurement_unit__dated_integer__source	0jbk9	1	-1	-1	1
01c427	award__award_category__nominees-award__award_nomination__award_nominee	027kwc	1	-1	-1	1
028k2x	tv__tv_program__regular_cast-tv__regular_tv_appearance__character	01d5g	1	-1	-1	1
05qbckf	media_common__netflix_title__netflix_genres	024qqx	1	-1	-1	1
07z31v	award__award_ceremony__awards_presented-award__award_honor__honored_for	039c26	1	-1	-1	1
07gbf	award__award_nominated_work__award_nominations-award__award_nomination__award_nominee	048hf	1	-1	-1	1
013hxv	location__location__contains	0dzst	1	-1	-1	1
030_3z	award__award_winner__awards_won-award__award_honor__award_winner	0kx4m	1	-1	-1	1
0194zl	film__film__genre	017fp	1	-1	-1	1
049k4w	sports__sports_position__players-baseball__baseball_roster_position__team	07l8x	1	-1	-1	1
01x73	location__statistical_region__religions-location__religion_percentage__religion	0flw86	1	-1	-1	1
02wyc0	people__person__profession	015cjr	1	-1	-1	1
02rnns	sports__pro_athlete__teams-sports__sports_team_roster__team	0dwz3t	1	-1	-1	1
0dgrmp	sports__sports_position__players-soccer__football_roster_position__team	02qjb_	1	-1	-1	1
043kzcr	award__award_nominee__award_nominations-award__award_nomination__award_nominee	0306ds	1	-1	-1	1
02ppm4q	award__award_category__nominees-award__award_nomination__award_nominee	01pcql	1	-1	-1	1
03rhqg	music__record_label__artist	0m_v0	1	-1	-1	1
03wy8t	film__film__distributors-film__film_film_distributor_relationship__distributor	054g1r	1	-1	-1	1
0gmgwnv	film__film__genre	03bxz7	1	-1	-1	1
04g7x	education__field_of_study__students_majoring-education__education__institution	03ksy	1	-1	-1	1
025cn2	award__award_nominee__award_nominations-award__award_nomination__nominated_for	0m_h6	1	-1	-1	1
04kjrv	music__artist__genre	0hdf8	1	-1	-1	1
0jm4v	basketball__basketball_team__roster-basketball__basketball_roster_position__position	02_ssl	1	-1	-1	1
0cr3d	location__location__people_born_here	022yb4	1	-1	-1	1
04sntd	media_common__netflix_title__netflix_genres	01jfsb	1	-1	-1	1
018ygt	award__award_nominee__award_nominations-award__award_nomination__award_nominee	0154qm	1	-1	-1	1
018417	award__award_winner__awards_won-award__award_honor__award_winner	0cj8x	1	-1	-1	1
0ct9_	influence__influence_node__influenced_by	03sbs	1	-1	-1	1
0fqt1ns	film__film__distributors-film__film_film_distributor_relationship__distributor	017s11	1	-1	-1	1
07619_	people__profession__specialization_of	01445t	1	-1	-1	1
08mbj32	common__annotation_category__annotations-common__webpage__topic	04jm_hq	1	-1	-1	1
0443xn	award__award_nominee__award_nominations-award__award_nomination__award	0ck27z	1	1	-1	1
0ky6d	aviation__airline__hubs	03jn4	1	1	-1	1
04wmvz	baseball__baseball_team__current_roster-sports__sports_team_roster__position	028c_8	1	1	-1	1
05f4m9q	award__award_category__nominees-award__award_nomination__nominated_for	06zn1c	1	1	-1	1
03jxw	media_common__dedicator__dedications-media_common__dedication__dedicated_to	05gpy	1	1	-1	1
01vrncs	people__person__education-education__education__institution	025v3k	1	1	-1	1
05tbn	government__political_district__representatives-government__government_position_held__legislative_sessions	07p__7	1	1	-1	1
01pwz	symbols__name_source__namesakes	0rydq	1	1	-1	1
09jd9	award__award_nominee__award_nominations-award__award_nomination__award	02tzwd	1	1	-1	1
017lb_	music__artist__genre	05r6t	1	1	-1	1
04x_3	education__field_of_study__students_majoring-education__education__institution	02fy0z	1	1	-1	1
02vk52z	organization__membership_organization__members-organization__organization_membership__member	0154j	1	1	-1	1
02qpt1w	film__film__production_companies	061dn_	1	1	-1	1
04m2zj	music__artist__track_contributions-music__track_contribution__role	0342h	1	1	-1	1
015rkw	film__actor__film-film__performance__film	03ffcz	1	1	-1	1
073v6	people__person__employment_history-business__employment_tenure__company	07wrz	1	1	-1	1
01pgzn_	base__popstra__celebrity__vacations_in-base__popstra__vacation_choice__location	07fr_	1	1	-1	1
04grdgy	film__film_festival_event__films	02704ff	1	1	-1	1
02x17c2	award__award_category__nominees-award__award_nomination__award_nominee	03h_9lg	1	1	-1	1
03swmf	film__producer__films_executive_produced	05nyqk	1	1	-1	1
0k3l5	location__location__contains	02s838	1	1	-1	1
0jrny	people__person__profession	03gjzk	1	1	-1	1
05d8vw	music__artist__label	015_1q	1	1	-1	1
09px1w	common__topic__webpage-common__webpage__category	08mbj5d	1	1	-1	1
07pzc	award__award_nominee__award_nominations-award__award_nomination__award	023vrq	1	1	-1	1
02z0dfh	award__award_category__nominees-award__award_nomination__nominated_for	0b1y_2	1	1	-1	1
0gghm	music__performance_role__guest_performances-music__recording_contribution__performance_role	06w87	1	1	-1	1
01ppfv	music__genre__parent_genre	03_d0	1	1	-1	1
05l0j5	tv__tv_actor__starring_roles-tv__regular_tv_appearance__series	02906	1	1	-1	1
03bxh	music__artist__genre	05lls	1	1	-1	1
0p7pw	award__award_nominated_work__award_nominations-award__award_nomination__award	0f4x7	1	1	-1	1
02p2zq	award__award_winner__awards_won-award__award_honor__award_winner	01mvjl0	1	1	-1	1
02hrh1q	people__profession__people_with_this_profession	0ksrf8	1	1	-1	1
01hkhq	film__actor__film-film__performance__film	016z7s	1	1	-1	1
06j6l	music__genre__subgenre	01n5sn	1	1	-1	1
026hxwx	film__film__country	09c7w0	1	1	-1	1
0c4f4	award__award_nominee__award_nominations-award__award_nomination__award_nominee	019pm_	1	1	-1	1
07h34	government__political_district__representatives-government__government_position_held__legislative_sessions	01grq1	1	1	-1	1
06z6r	olympics__olympic_sport__athletes-olympics__olympic_athlete_affiliation__country	02wt0	1	1	-1	1
05zbm4	base__popstra__celebrity__dated-base__popstra__dated__participant	02jtjz	1	1	-1	1
05148p4	music__performance_role__regular_performances-music__group_membership__group	04k05	1	1	-1	1
0233bn	award__award_nominated_work__award_nominations-award__award_nomination__award_nominee	065d1h	1	1	-1	1
0dxtw	film__film_job__films_with_this_crew_job-film__film_crew_gig__film	05_5_22	1	1	-1	1
0971v	food__food__nutrients-food__nutrition_fact__nutrient	025sf8g	1	1	-1	1
01jfsb	film__film_genre__films_in_this_genre	04ydr95	1	1	-1	1
07_hy	base__eating__diets__people_who_follow_this_diet	03n52j	1	1	-1	1
01nwwl	film__actor__film-film__performance__film	0jwmp	1	1	-1	1
0872p_c	film__film__distributors-film__film_film_distributor_relationship__distributor	01gb54	1	1	-1	1
01qb5d	film__film__starring-film__performance__actor	03knl	1	1	-1	1
08swgx	people__person__profession	02hrh1q	1	1	-1	1
0h5jg5	award__award_winner__awards_won-award__award_honor__award_winner	0697kh	1	1	-1	1
0147fv	tv__special_tv_performance_type__starring_performances-tv__regular_tv_appearance__actor	03cz4j	1	1	-1	1
0kbws	olympics__olympic_games__participating_countries	02k1b	1	1	-1	1
07t_x	olympics__olympic_participating_country__medals_won-olympics__olympic_medal_honor__olympics	0kbws	1	1	-1	1
06cgy	film__actor__film-film__performance__film	07nxvj	1	1	-1	1
05b2gsm	film__film_production_designer__films_production_designed	0g5879y	1	1	-1	1
025rzfc	military__military_conflict__commanders-military__military_command__military_combatant	05vz3zq	1	1	-1	1
015grj	award__award_nominee__award_nominations-award__award_nomination__award	0bm7fy	1	1	-1	1
0cvkv5	film__film__film_format	0cj16	1	1	-1	1
0gsl0	geography__island__body_of_water	05rgl	1	1	-1	1
