technique	threshold	relation	metric	value
50changed	-1	film__film__executive_produced_by	MRR	nan
50changed	-1	film__film__executive_produced_by	MAP	nan
50changed	-1	soccer__football_team__current_roster-sports__sports_team_roster__position	MRR	nan
50changed	-1	soccer__football_team__current_roster-sports__sports_team_roster__position	MAP	nan
50changed	-1	influence__influence_node__peers-influence__peer_relationship__peers	MRR	nan
50changed	-1	influence__influence_node__peers-influence__peer_relationship__peers	MAP	nan
50changed	-1	tv__tv_program__regular_cast-tv__regular_tv_appearance__actor	MRR	nan
50changed	-1	tv__tv_program__regular_cast-tv__regular_tv_appearance__actor	MAP	nan
50changed	-1	film__film__production_companies	MRR	1.0
50changed	-1	film__film__production_companies	MAP	1.0
50changed	-1	olympics__olympic_participating_country__athletes-olympics__olympic_athlete_affiliation__sport	MRR	nan
50changed	-1	olympics__olympic_participating_country__athletes-olympics__olympic_athlete_affiliation__sport	MAP	nan
50changed	-1	location__hud_foreclosure_area__hhuniv-measurement_unit__dated_integer__source	MRR	1.0
50changed	-1	location__hud_foreclosure_area__hhuniv-measurement_unit__dated_integer__source	MAP	1.0
50changed	-1	aviation__airline__hubs	MRR	1.0
50changed	-1	aviation__airline__hubs	MAP	1.0
50changed	-1	award__award_nominated_work__award_nominations-award__award_nomination__award_nominee	MRR	1.0
50changed	-1	award__award_nominated_work__award_nominations-award__award_nomination__award_nominee	MAP	1.0
50changed	-1	music__record_label__artist	MRR	1.0
50changed	-1	music__record_label__artist	MAP	1.0
50changed	-1	film__actor__film-film__performance__film	MRR	1.0
50changed	-1	film__actor__film-film__performance__film	MAP	1.0
50changed	-1	time__time_zone__locations_in_this_time_zone	MRR	1.0
50changed	-1	time__time_zone__locations_in_this_time_zone	MAP	1.0
50changed	-1	film__film__starring-film__performance__actor	MRR	1.0
50changed	-1	film__film__starring-film__performance__actor	MAP	1.0
50changed	-1	base__petbreeds__city_with_dogs__top_breeds-base__petbreeds__dog_city_relationship__dog_breed	MRR	1.0
50changed	-1	base__petbreeds__city_with_dogs__top_breeds-base__petbreeds__dog_city_relationship__dog_breed	MAP	1.0
50changed	-1	people__deceased_person__place_of_death	MRR	1.0
50changed	-1	people__deceased_person__place_of_death	MAP	1.0
50changed	-1	sports__sports_position__players-baseball__baseball_roster_position__team	MRR	1.0
50changed	-1	sports__sports_position__players-baseball__baseball_roster_position__team	MAP	1.0
50changed	-1	award__award_winning_work__awards_won-award__award_honor__ceremony	MRR	1.0
50changed	-1	award__award_winning_work__awards_won-award__award_honor__ceremony	MAP	1.0
50changed	-1	tv__tv_genre__programs	MRR	nan
50changed	-1	tv__tv_genre__programs	MAP	nan
50changed	-1	people__marriage_union_type__unions_of_this_type-people__marriage__spouse	MRR	nan
50changed	-1	people__marriage_union_type__unions_of_this_type-people__marriage__spouse	MAP	nan
50changed	-1	music__genre__parent_genre	MRR	1.0
50changed	-1	music__genre__parent_genre	MAP	1.0
50changed	-1	film__film_distributor__films_distributed-film__film_film_distributor_relationship__film	MRR	1.0
50changed	-1	film__film_distributor__films_distributed-film__film_film_distributor_relationship__film	MAP	1.0
50changed	-1	olympics__olympic_participating_country__olympics_participated_in	MRR	nan
50changed	-1	olympics__olympic_participating_country__olympics_participated_in	MAP	nan
50changed	-1	base__popstra__celebrity__vacations_in-base__popstra__vacation_choice__location	MRR	1.0
50changed	-1	base__popstra__celebrity__vacations_in-base__popstra__vacation_choice__location	MAP	1.0
50changed	-1	film__film__distributors-film__film_film_distributor_relationship__distributor	MRR	1.0
50changed	-1	film__film__distributors-film__film_film_distributor_relationship__distributor	MAP	1.0
50changed	-1	award__award_winner__awards_won-award__award_honor__honored_for	MRR	nan
50changed	-1	award__award_winner__awards_won-award__award_honor__honored_for	MAP	nan
50changed	-1	award__award_category__nominees-award__award_nomination__award_nominee	MRR	1.0
50changed	-1	award__award_category__nominees-award__award_nomination__award_nominee	MAP	1.0
50changed	-1	influence__influence_node__influenced_by	MRR	1.0
50changed	-1	influence__influence_node__influenced_by	MAP	1.0
50changed	-1	olympics__olympic_participating_country__medals_won-olympics__olympic_medal_honor__olympics	MRR	1.0
50changed	-1	olympics__olympic_participating_country__medals_won-olympics__olympic_medal_honor__olympics	MAP	1.0
50changed	-1	military__military_conflict__commanders-military__military_command__military_commander	MRR	1.0
50changed	-1	military__military_conflict__commanders-military__military_command__military_commander	MAP	1.0
50changed	-1	music__performance_role__regular_performances-music__group_membership__group	MRR	1.0
50changed	-1	music__performance_role__regular_performances-music__group_membership__group	MAP	1.0
50changed	-1	music__genre__subgenre	MRR	1.0
50changed	-1	music__genre__subgenre	MAP	1.0
50changed	-1	tv__tv_program__recurring_writers-tv__tv_program_writer_relationship__writer	MRR	1.0
50changed	-1	tv__tv_program__recurring_writers-tv__tv_program_writer_relationship__writer	MAP	1.0
50changed	-1	olympics__olympic_participating_country__medals_won-olympics__olympic_medal_honor__medal	MRR	nan
50changed	-1	olympics__olympic_participating_country__medals_won-olympics__olympic_medal_honor__medal	MAP	nan
50changed	-1	award__award_nominee__award_nominations-award__award_nomination__nominated_for	MRR	1.0
50changed	-1	award__award_nominee__award_nominations-award__award_nomination__nominated_for	MAP	1.0
50changed	-1	music__artist__label	MRR	1.0
50changed	-1	music__artist__label	MAP	1.0
50changed	-1	soccer__football_team__current_roster-soccer__football_roster_position__position	MRR	nan
50changed	-1	soccer__football_team__current_roster-soccer__football_roster_position__position	MAP	nan
50changed	-1	location__statistical_region__gdp_nominal-measurement_unit__dated_money_value__currency	MRR	nan
50changed	-1	location__statistical_region__gdp_nominal-measurement_unit__dated_money_value__currency	MAP	nan
50changed	-1	american_football__football_player__former_teams-sports__sports_team_roster__team	MRR	nan
50changed	-1	american_football__football_player__former_teams-sports__sports_team_roster__team	MAP	nan
50changed	-1	film__writer__film	MRR	nan
50changed	-1	film__writer__film	MAP	nan
50changed	-1	film__film_genre__films_in_this_genre	MRR	1.0
50changed	-1	film__film_genre__films_in_this_genre	MAP	1.0
50changed	-1	government__legislative_session__members-government__government_position_held__legislative_sessions	MRR	nan
50changed	-1	government__legislative_session__members-government__government_position_held__legislative_sessions	MAP	nan
50changed	-1	military__military_conflict__combatants-military__military_combatant_group__combatants	MRR	nan
50changed	-1	military__military_conflict__combatants-military__military_combatant_group__combatants	MAP	nan
50changed	-1	music__musical_group__member-music__group_membership__role	MRR	nan
50changed	-1	music__musical_group__member-music__group_membership__role	MAP	nan
50changed	-1	location__location__time_zones	MRR	1.0
50changed	-1	location__location__time_zones	MAP	1.0
50changed	-1	location__statistical_region__religions-location__religion_percentage__religion	MRR	1.0
50changed	-1	location__statistical_region__religions-location__religion_percentage__religion	MAP	1.0
50changed	-1	music__performance_role__track_performances-music__track_contribution__contributor	MRR	nan
50changed	-1	music__performance_role__track_performances-music__track_contribution__contributor	MAP	nan
50changed	-1	base__schemastaging__organization_extra__phone_number-base__schemastaging__phone_sandbox__contact_category	MRR	1.0
50changed	-1	base__schemastaging__organization_extra__phone_number-base__schemastaging__phone_sandbox__contact_category	MAP	1.0
50changed	-1	award__award_category__winners-award__award_honor__award_winner	MRR	nan
50changed	-1	award__award_category__winners-award__award_honor__award_winner	MAP	nan
50changed	-1	music__performance_role__guest_performances-music__recording_contribution__performance_role	MRR	1.0
50changed	-1	music__performance_role__guest_performances-music__recording_contribution__performance_role	MAP	1.0
50changed	-1	people__profession__people_with_this_profession	MRR	1.0
50changed	-1	people__profession__people_with_this_profession	MAP	1.0
50changed	-1	people__person__employment_history-business__employment_tenure__company	MRR	1.0
50changed	-1	people__person__employment_history-business__employment_tenure__company	MAP	1.0
50changed	-1	film__film__country	MRR	1.0
50changed	-1	film__film__country	MAP	1.0
50changed	-1	military__military_conflict__commanders-military__military_command__military_combatant	MRR	1.0
50changed	-1	military__military_conflict__commanders-military__military_command__military_combatant	MAP	1.0
50changed	-1	award__award_winning_work__awards_won-award__award_honor__award_winner	MRR	nan
50changed	-1	award__award_winning_work__awards_won-award__award_honor__award_winner	MAP	nan
50changed	-1	olympics__olympic_games__participating_countries	MRR	1.0
50changed	-1	olympics__olympic_games__participating_countries	MAP	1.0
50changed	-1	media_common__adaptation__adapted_from	MRR	1.0
50changed	-1	media_common__adaptation__adapted_from	MAP	1.0
50changed	-1	people__person__education-education__education__institution	MRR	1.0
50changed	-1	people__person__education-education__education__institution	MAP	1.0
50changed	-1	award__award_category__winners-award__award_honor__ceremony	MRR	nan
50changed	-1	award__award_category__winners-award__award_honor__ceremony	MAP	nan
50changed	-1	film__film__genre	MRR	1.0
50changed	-1	film__film__genre	MAP	1.0
50changed	-1	people__person__nationality	MRR	1.0
50changed	-1	people__person__nationality	MAP	1.0
50changed	-1	base__marchmadness__ncaa_basketball_tournament__seeds-base__marchmadness__ncaa_tournament_seed__team	MRR	nan
50changed	-1	base__marchmadness__ncaa_basketball_tournament__seeds-base__marchmadness__ncaa_tournament_seed__team	MAP	nan
50changed	-1	base__popstra__celebrity__friendship-base__popstra__friendship__participant	MRR	1.0
50changed	-1	base__popstra__celebrity__friendship-base__popstra__friendship__participant	MAP	1.0
50changed	-1	location__location__events	MRR	nan
50changed	-1	location__location__events	MAP	nan
50changed	-1	film__film__film_format	MRR	1.0
50changed	-1	film__film__film_format	MAP	1.0
50changed	-1	location__location__contains	MRR	1.0
50changed	-1	location__location__contains	MAP	1.0
50changed	-1	people__person__spouse_s-people__marriage__location_of_ceremony	MRR	nan
50changed	-1	people__person__spouse_s-people__marriage__location_of_ceremony	MAP	nan
50changed	-1	location__administrative_division__country	MRR	nan
50changed	-1	location__administrative_division__country	MAP	nan
50changed	-1	people__person__gender	MRR	1.0
50changed	-1	people__person__gender	MAP	1.0
50changed	-1	government__governmental_jurisdiction__governing_officials-government__government_position_held__legislative_sessions	MRR	nan
50changed	-1	government__governmental_jurisdiction__governing_officials-government__government_position_held__legislative_sessions	MAP	nan
50changed	-1	film__film__release_date_s-film__film_regional_release_date__film_release_region	MRR	1.0
50changed	-1	film__film__release_date_s-film__film_regional_release_date__film_release_region	MAP	1.0
50changed	-1	sports__sports_team__roster-american_football__football_historical_roster_position__position_s	MRR	nan
50changed	-1	sports__sports_team__roster-american_football__football_historical_roster_position__position_s	MAP	nan
50changed	-1	award__award_winning_work__awards_won-award__award_honor__award	MRR	1.0
50changed	-1	award__award_winning_work__awards_won-award__award_honor__award	MAP	1.0
50changed	-1	people__profession__specialization_of	MRR	1.0
50changed	-1	people__profession__specialization_of	MAP	1.0
50changed	-1	location__location__adjoin_s-location__adjoining_relationship__adjoins	MRR	nan
50changed	-1	location__location__adjoin_s-location__adjoining_relationship__adjoins	MAP	nan
50changed	-1	film__producer__films_executive_produced	MRR	1.0
50changed	-1	film__producer__films_executive_produced	MAP	1.0
50changed	-1	baseball__baseball_team__current_roster-sports__sports_team_roster__position	MRR	1.0
50changed	-1	baseball__baseball_team__current_roster-sports__sports_team_roster__position	MAP	1.0
50changed	-1	music__artist__track_contributions-music__track_contribution__role	MRR	1.0
50changed	-1	music__artist__track_contributions-music__track_contribution__role	MAP	1.0
50changed	-1	sports__sports_team__roster-sports__sports_team_roster__position	MRR	1.0
50changed	-1	sports__sports_team__roster-sports__sports_team_roster__position	MAP	1.0
